"","X1","X2"
"253","racewhite:sleep_troubleoften","0.000802654861100201"
"254","raceblack:sleep_troubleoften","0.000943311625378957"
"255","raceasian:sleep_troubleoften","0.00327288671783188"
"256","raceother:sleep_troubleoften","0.00285098165220169"
"257","raceother hispanic:sleep_troublealways","0.000626080796104395"
"258","racewhite:sleep_troublealways","0.000941832370900512"
"259","raceblack:sleep_troublealways","-0.00246029969402769"
"260","raceasian:sleep_troublealways","-0.00875014910956094"
"261","raceother:sleep_troublealways","-4.03612555823586e-05"
"262","raceother hispanic:activityNo","-0.000882670846908558"
"263","racewhite:activityNo","0.000146330186192823"
"264","raceblack:activityNo","-0.00102856648911422"
"265","raceasian:activityNo","-0.00488254955061797"
"266","raceother:activityNo","-0.00151796064596307"
"267","raceother hispanic:tv_hrs2~4hrs","-0.000663820790276781"
"268","racewhite:tv_hrs2~4hrs","-0.000136046439315036"
"269","raceblack:tv_hrs2~4hrs","0.000684689184409386"
"270","raceasian:tv_hrs2~4hrs","-0.0028572705076344"
"271","raceother:tv_hrs2~4hrs","0.000693895479695893"
"272","raceother hispanic:tv_hrs5hrs","0.000837208382823185"
"273","racewhite:tv_hrs5hrs","0.00238666575344262"
"274","raceblack:tv_hrs5hrs","2.05031367576661e-05"
"275","raceasian:tv_hrs5hrs","-0.00606315660398767"
"276","raceother:tv_hrs5hrs","0.00704578538399881"
"277","raceother hispanic:tv_hrs0hr","0.00906694952125443"
"278","racewhite:tv_hrs0hr","0.00333586002516192"
"279","raceblack:tv_hrs0hr","-0.00135560199380014"
"280","raceasian:tv_hrs0hr","-0.00227674338616478"
"281","raceother hispanic:sleep_hr","-0.000107110193161406"
"282","racewhite:sleep_hr","-0.000135126741189509"
"283","raceblack:sleep_hr","-6.04614920274917e-06"
"284","raceasian:sleep_hr","-0.000393043238679625"
"285","raceother:sleep_hr","-2.10805584479759e-05"
"286","raceother hispanic:smokesometimes","-0.0116313674218911"
"287","racewhite:smokesometimes","-0.00168788972653071"
"288","raceblack:smokesometimes","0.00239986689257137"
"289","raceasian:smokesometimes","0.00202553263405196"
"290","raceother:smokesometimes","-0.00367381389783333"
"291","raceother hispanic:smokeno","-0.000329467517491826"
"292","racewhite:smokeno","0.00100617613484586"
"293","raceblack:smokeno","-0.000461383463860613"
"294","raceasian:smokeno","-0.00040065473763129"
"295","raceother:smokeno","0.000556054740160527"
"296","raceother hispanic:smokemissing","-0.000775079972072789"
"297","racewhite:smokemissing","-0.000419077946471812"
"298","raceblack:smokemissing","0.00263368811108309"
"299","raceasian:smokemissing","-0.0035633330230921"
"300","raceother:smokemissing","-0.000566819723667633"
"301","raceother hispanic:I(sleep_hr^2)","-1.43683801901806e-05"
"302","racewhite:I(sleep_hr^2)","-1.21214077616042e-05"
"303","raceblack:I(sleep_hr^2)","-6.94156568676401e-06"
"304","raceasian:I(sleep_hr^2)","-5.51360396426348e-05"
"305","raceother:I(sleep_hr^2)","2.131270413615e-06"
"306","eduhs:marriagewidowed","-0.00134201331772402"
"307","eduabove hs:marriagewidowed","-0.000718905293739638"
"308","eduhs:marriagedivorced","-0.000199283241748471"
"309","eduabove hs:marriagedivorced","0.000274296193618109"
"310","eduhs:marriagenever_married","-0.00048295168719027"
"311","eduabove hs:marriagenever_married","0.000305923637974084"
"312","eduhs:famsize","3.93716569043462e-05"
"313","eduabove hs:famsize","0.000293307745927607"
"314","eduhs:famincome25k~55k","0.000636838689108734"
"315","eduabove hs:famincome25k~55k","0.000848320403731975"
"316","eduhs:famincome55k~75k","-0.00266966107520051"
"317","eduabove hs:famincome55k~75k","0.00128642134753555"
"318","eduhs:famincome75k~100k","0.00154753970797594"
"319","eduabove hs:famincome75k~100k","-0.000452013947089078"
"320","eduhs:famincomeabove 100k","-0.000499685739544304"
"321","eduabove hs:famincomeabove 100k","-0.000959891045218904"
"322","eduhs:alcohol12yrno","-0.000768654425324005"
"323","eduabove hs:alcohol12yrno","0.00125602789509796"
"324","eduhs:alcoholfrq","-3.14795084215424e-05"
"325","eduabove hs:alcoholfrq","-4.5934610652665e-06"
"326","eduhs:log.grocery","4.53948042239781e-05"
"327","eduabove hs:log.grocery","3.32652371696478e-06"
"328","eduhs:log.eatout","5.65892873358468e-06"
"329","eduabove hs:log.eatout","0.000105457498068672"
"330","eduhs:log.delivery","-2.55703509275618e-05"
"331","eduabove hs:log.delivery","8.19182521256904e-06"
"332","eduhs:milkrare","0.00201570349022084"
"333","eduabove hs:milkrare","-0.00020039588046504"
"334","eduhs:milksometimes","0.00126334919759697"
"335","eduabove hs:milksometimes","0.00117249819442657"
"336","eduhs:milkoften","5.41721466115109e-05"
"337","eduabove hs:milkoften","-0.000475463419993118"
"338","eduhs:milkvaried","-0.00111526392611252"
"339","eduabove hs:milkvaried","0.00741062305771969"
"340","eduhs:meals_nothome","-3.94958740871835e-05"
"341","eduabove hs:meals_nothome","-2.04677249359279e-05"
"342","eduhs:meals_fastfood","8.35458850124038e-05"
"343","eduabove hs:meals_fastfood","0.000123320994791027"
"344","eduhs:depressedsometimes","-6.0467472861303e-05"
"345","eduabove hs:depressedsometimes","-2.3175824127671e-06"
"346","eduhs:depressedoften","-0.00461434787443995"
"347","eduabove hs:depressedoften","0.00378574438857746"
"348","eduhs:depressedalwyas","0.00322939249662278"
"349","eduabove hs:depressedalwyas","-0.00184431375547092"
"350","eduhs:sleep_troublesometimes","0.000412067250624806"
"351","eduabove hs:sleep_troublesometimes","-0.00062073554694895"
"352","eduhs:sleep_troubleoften","0.00411133606985986"
"353","eduabove hs:sleep_troubleoften","-0.00128889652731425"
"354","eduhs:sleep_troublealways","-0.000463271988914377"
"355","eduabove hs:sleep_troublealways","1.96928700516466e-05"
"356","eduhs:activityNo","0.000558954080975657"
"357","eduabove hs:activityNo","0.000738382318741523"
"358","eduhs:tv_hrs2~4hrs","0.00178941539013271"
"359","eduabove hs:tv_hrs2~4hrs","0.00125369742041768"
"360","eduhs:tv_hrs5hrs","-0.00180726142034035"
"361","eduabove hs:tv_hrs5hrs","0.00255310102051288"
"362","eduhs:tv_hrs0hr","-0.000812215047793229"
"363","eduabove hs:tv_hrs0hr","-0.00116052930820325"
"364","eduhs:sleep_hr","-1.13029517685817e-05"
"365","eduabove hs:sleep_hr","-2.20259881214209e-05"
"366","eduhs:smokesometimes","0.00421387725786185"
"367","eduabove hs:smokesometimes","-0.00169727278192564"
"368","eduhs:smokeno","0.000527282995401541"
"369","eduabove hs:smokeno","0.00173277052088643"
"370","eduhs:smokemissing","0.00108654396908819"
"371","eduabove hs:smokemissing","-0.000200088253707775"
"372","eduhs:I(sleep_hr^2)","-2.76614388378607e-06"
"373","eduabove hs:I(sleep_hr^2)","-2.77948662671884e-06"
"374","marriagewidowed:famsize","0.000526616422883178"
"375","marriagedivorced:famsize","-8.47958836573939e-05"
"376","marriagenever_married:famsize","-0.000285299154456026"
"377","marriagewidowed:famincome25k~55k","0.000987861538545114"
"378","marriagedivorced:famincome25k~55k","-0.000860754705822781"
"379","marriagenever_married:famincome25k~55k","0.0015760198341162"
"380","marriagewidowed:famincome55k~75k","-0.00219301057254327"
"381","marriagedivorced:famincome55k~75k","-0.0016120185878665"
"382","marriagenever_married:famincome55k~75k","0.00101521007070681"
"383","marriagewidowed:famincome75k~100k","-0.00678984321691292"
"384","marriagedivorced:famincome75k~100k","-0.00337374715242773"
"385","marriagenever_married:famincome75k~100k","0.000571687305089581"
"386","marriagewidowed:famincomeabove 100k","-0.00462103608777609"
